WARN  14:07:17,372 | james.mailetcontext | The specified postmaster address ( postmaster@localhost ) is not a local address.  This is not necessarily a problem, but it does mean that emails addressed to the postmaster will be routed to another server.  For some configurations this may cause problems.
INFO  14:07:17,600 | james.mailprocessor | Matcher org.glx.matchers.GLXUnsubscribedEmails instantiated.
INFO  14:07:17,638 | james.mailprocessor | Mailet Null instantiated.
INFO  14:07:17,646 | james.mailprocessor | Matcher All instantiated.
INFO  14:07:17,659 | james.mailprocessor | Mailet org.glx.mailets.GLXUnsubscribe instantiated.
INFO  14:07:17,660 | james.mailprocessor | Matcher All instantiated.
INFO  14:07:17,668 | james.mailprocessor | Mailet org.glx.mailets.GLXGatewayDispatcher instantiated.
INFO  14:07:17,675 | james.mailprocessor | Matcher HasMailAttributeWithValue=currentGateway,1 instantiated.
INFO  14:07:17,684 | james.mailprocessor | Mailet org.glx.mailets.GLXAmazonSESRelay instantiated.
INFO  14:07:17,685 | james.mailprocessor | Matcher All instantiated.
INFO  14:07:17,693 | james.mailprocessor | Mailet PostmasterAlias instantiated.
INFO  14:07:17,701 | james.mailprocessor | Matcher RelayLimit=30 instantiated.
INFO  14:07:17,705 | james.mailprocessor | Mailet Null instantiated.
INFO  14:07:17,714 | james.mailprocessor | Matcher HasMailAttribute=spamChecked instantiated.
INFO  14:07:17,727 | james.mailprocessor | Mailet ToProcessor instantiated.
INFO  14:07:17,728 | james.mailprocessor | Matcher All instantiated.
INFO  14:07:17,757 | james.mailprocessor | Mailet SetMailAttribute instantiated.
INFO  14:07:17,769 | james.mailprocessor | Matcher SMTPAuthSuccessful instantiated.
INFO  14:07:17,773 | james.mailprocessor | Mailet ToProcessor instantiated.
INFO  14:07:17,774 | james.mailprocessor | Matcher All instantiated.
INFO  14:07:17,775 | james.mailprocessor | Mailet ToProcessor instantiated.
INFO  14:07:18,586 | james.mailprocessor | Matcher All instantiated.
INFO  14:07:18,640 | james.mailprocessor | Mailet ToRepository instantiated.
INFO  14:07:18,732 | james.mailprocessor | Matcher SMTPAuthSuccessful instantiated.
INFO  14:07:18,750 | james.mailprocessor | Mailet SetMimeHeader instantiated.
INFO  14:07:18,757 | james.mailprocessor | Matcher HasMailAttribute=org.apache.james.SMIMECheckSignature instantiated.
INFO  14:07:18,760 | james.mailprocessor | Mailet SetMimeHeader instantiated.
INFO  14:07:18,762 | james.mailprocessor | Matcher All instantiated.
INFO  14:07:18,796 | james.mailprocessor | Mailet RecipientRewriteTable instantiated.
INFO  14:07:18,803 | james.mailprocessor | Matcher SenderIsLocal instantiated.
INFO  14:07:19,002 | james.mailprocessor | Mailet ToSenderFolder instantiated.
INFO  14:07:19,014 | james.mailprocessor | Matcher RecipientIsLocal instantiated.
INFO  14:07:19,086 | james.mailprocessor | Mailet Sieve instantiated.
INFO  14:07:19,093 | james.mailprocessor | Matcher RecipientIsLocal instantiated.
INFO  14:07:19,101 | james.mailprocessor | Mailet AddDeliveredToHeader instantiated.
INFO  14:07:19,102 | james.mailprocessor | Matcher RecipientIsLocal instantiated.
INFO  14:07:19,120 | james.mailprocessor | Mailet LocalDelivery instantiated.
INFO  14:07:19,131 | james.mailprocessor | Matcher HostIsLocal instantiated.
INFO  14:07:19,132 | james.mailprocessor | Mailet ToProcessor instantiated.
INFO  14:07:19,195 | james.mailetcontext | Authorized addresses: [127.0.0.1/255.255.255.255]
INFO  14:07:19,197 | james.mailprocessor | Matcher RemoteAddrNotInNetwork=127.0.0.1 instantiated.
INFO  14:07:19,201 | james.mailprocessor | Mailet ToProcessor instantiated.
INFO  14:07:19,204 | james.mailprocessor | Matcher All instantiated.
INFO  14:07:19,383 | james.mailprocessor | Mailet RemoteDelivery instantiated.
INFO  14:07:19,777 | james.mailprocessor | Matcher All instantiated.
INFO  14:07:19,790 | james.mailprocessor | Mailet MetricsMailet instantiated.
INFO  14:07:19,797 | james.mailprocessor | Matcher All instantiated.
INFO  14:07:19,836 | james.mailprocessor | Mailet Bounce instantiated.
