INFO  14:07:21,540 | james.pop3server | POP3 Service bound to: 0.0.0.0:110
INFO  14:07:21,541 | james.pop3server | POP3 Service is running on: anderson
INFO  14:07:21,542 | james.pop3server | POP3 Service handler hello name is: anderson
INFO  14:07:21,542 | james.pop3server | POP3 Service handler connection timeout is: 1200
INFO  14:07:21,542 | james.pop3server | POP3 Service connection backlog is: 200
INFO  14:07:21,758 | james.pop3server | Init POP3 Service done
INFO  14:13:54,973 | james.pop3server | Id='-1616853509' User='' Connection established from 127.0.0.1
INFO  14:13:55,185 | james.pop3server | Id='-1616853509' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  14:23:31,607 | james.pop3server | Id='-1163248718' User='' Connection established from 127.0.0.1
INFO  14:23:31,658 | james.pop3server | Id='-1163248718' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  14:33:15,226 | james.pop3server | Id='-224702717' User='' Connection established from 127.0.0.1
INFO  14:33:15,282 | james.pop3server | Id='-224702717' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  14:42:50,069 | james.pop3server | Id='-508448129' User='' Connection established from 127.0.0.1
INFO  14:42:50,108 | james.pop3server | Id='-508448129' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  14:52:20,455 | james.pop3server | Id='-1927064487' User='' Connection established from 127.0.0.1
INFO  14:52:20,489 | james.pop3server | Id='-1927064487' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  15:02:43,209 | james.pop3server | Id='-1682848635' User='' Connection established from 127.0.0.1
INFO  15:02:43,236 | james.pop3server | Id='-1682848635' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  15:12:15,759 | james.pop3server | Id='-1681526667' User='' Connection established from 127.0.0.1
INFO  15:12:15,792 | james.pop3server | Id='-1681526667' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  15:22:45,230 | james.pop3server | Id='-852694898' User='' Connection established from 127.0.0.1
INFO  15:22:45,267 | james.pop3server | Id='-852694898' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  15:33:06,940 | james.pop3server | Id='-496119697' User='' Connection established from 127.0.0.1
INFO  15:33:07,001 | james.pop3server | Id='-496119697' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  15:43:11,130 | james.pop3server | Id='985760074' User='' Connection established from 127.0.0.1
INFO  15:43:11,161 | james.pop3server | Id='985760074' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  15:53:22,241 | james.pop3server | Id='820439882' User='' Connection established from 127.0.0.1
INFO  15:53:22,278 | james.pop3server | Id='820439882' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  16:02:54,742 | james.pop3server | Id='-755286604' User='' Connection established from 127.0.0.1
INFO  16:02:54,796 | james.pop3server | Id='-755286604' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  16:13:21,349 | james.pop3server | Id='871642199' User='' Connection established from 127.0.0.1
INFO  16:13:21,383 | james.pop3server | Id='871642199' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  16:23:34,698 | james.pop3server | Id='-1133388057' User='' Connection established from 127.0.0.1
INFO  16:23:34,744 | james.pop3server | Id='-1133388057' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  16:33:42,363 | james.pop3server | Id='-248383619' User='' Connection established from 127.0.0.1
INFO  16:33:42,390 | james.pop3server | Id='-248383619' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  16:43:26,446 | james.pop3server | Id='-2043114183' User='' Connection established from 127.0.0.1
INFO  16:43:26,484 | james.pop3server | Id='-2043114183' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  16:53:22,024 | james.pop3server | Id='-1288178303' User='' Connection established from 127.0.0.1
INFO  16:53:22,045 | james.pop3server | Id='-1288178303' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  17:02:56,948 | james.pop3server | Id='-1689176808' User='' Connection established from 127.0.0.1
INFO  17:02:56,990 | james.pop3server | Id='-1689176808' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  17:12:32,097 | james.pop3server | Id='2077549686' User='' Connection established from 127.0.0.1
INFO  17:12:32,128 | james.pop3server | Id='2077549686' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  17:23:02,070 | james.pop3server | Id='318742467' User='' Connection established from 127.0.0.1
INFO  17:23:02,096 | james.pop3server | Id='318742467' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  17:32:34,995 | james.pop3server | Id='-775422460' User='' Connection established from 127.0.0.1
INFO  17:32:35,021 | james.pop3server | Id='-775422460' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  17:42:35,044 | james.pop3server | Id='-1455999438' User='' Connection established from 127.0.0.1
INFO  17:42:35,077 | james.pop3server | Id='-1455999438' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  17:53:00,728 | james.pop3server | Id='-89840634' User='' Connection established from 127.0.0.1
INFO  17:53:00,763 | james.pop3server | Id='-89840634' User='admin@glx.info' Connection closed for 127.0.0.1
