INFO  14:07:20,907 | james.smtpserver | SMTP Service bound to: 0.0.0.0:25
INFO  14:07:20,908 | james.smtpserver | SMTP Service is running on: anderson
INFO  14:07:20,908 | james.smtpserver | SMTP Service handler hello name is: anderson
INFO  14:07:20,908 | james.smtpserver | SMTP Service handler connection timeout is: 360
INFO  14:07:20,908 | james.smtpserver | SMTP Service connection backlog is: 200
INFO  14:07:20,909 | james.smtpserver | This SMTP server requires authentication.
INFO  14:07:20,909 | james.smtpserver | No maximum message size is enforced for this server.
INFO  14:07:21,480 | james.smtpserver | Init SMTP Service done
INFO  14:07:42,473 | james.smtpserver | Id='-895285090' User='' Connection established from 127.0.0.1
INFO  14:07:43,314 | james.smtpserver | Id='-895285090' User='' Successfully spooled mail Mail1529521663023-d2e0cb09-3550-4192-b4fa-56e0175f1ea1 from admin@glx.info on localhost/127.0.0.1 for [andersonav91@gmail.com]
INFO  14:07:43,773 | james.smtpserver | Id='-895285090' User='' Connection closed for 127.0.0.1
INFO  14:07:43,773 | james.smtpserver | Id='-895285090' User='' Connection closed for 127.0.0.1
INFO  14:35:02,123 | james.smtpserver | Id='-1949998' User='' Connection established from 127.0.0.1
INFO  14:35:02,552 | james.smtpserver | Id='-1949998' User='' Successfully spooled mail Mail1529523302485-1e372f32-3c8c-4c9d-9056-0df51ded8819 from admin@glx.info on localhost/127.0.0.1 for [andersonav91@gmail.com]
INFO  14:35:02,600 | james.smtpserver | Id='-1949998' User='' Connection closed for 127.0.0.1
INFO  14:35:02,635 | james.smtpserver | Id='-1949998' User='' Connection closed for 127.0.0.1
INFO  14:36:17,848 | james.smtpserver | Id='2089376873' User='' Connection established from 127.0.0.1
INFO  14:36:18,301 | james.smtpserver | Id='2089376873' User='' Successfully spooled mail Mail1529523378246-1e44d511-6b09-494a-992d-010c2089c4a3 from admin@glx.info on localhost/127.0.0.1 for [andersonav91@gmail.com]
INFO  14:36:18,340 | james.smtpserver | Id='2089376873' User='' Connection closed for 127.0.0.1
